county_fips,county_name,acs_vintage,median_home_value,total_units,occupied_units,vacant_units,vacancy_rate,owner_occupied,renter_occupied,owner_pct,renter_pct,hh_total,hh_married_family,hh_other_family,hh_nonfamily,hh_married_pct,hh_single_pct,hh_nonfamily_pct,homeval_total,homeval_lt10k,homeval_10k_15k,homeval_15k_20k,homeval_20k_25k,homeval_25k_30k,homeval_30k_35k,homeval_35k_40k,homeval_40k_45k,homeval_45k_50k,homeval_50k_60k,homeval_60k_70k,homeval_70k_80k,homeval_80k_90k,homeval_90k_100k,homeval_100k_125k,homeval_125k_150k,homeval_150k_175k,homeval_175k_200k,homeval_200k_250k,homeval_250k_300k,homeval_300k_400k,homeval_400k_500k,homeval_500k_750k,homeval_750k_1m,homeval_1m_1500k,homeval_1500k_plus,permits_vintage,sf_permits,mf_total_permits,total_permits,in_core_11
13013,Barrow,1yr,343400,34452,33148,1304,0.0378,26643,6505,0.8038,0.1962,33148,19004,2529,5336,0.5733,0.0763,0.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,1167,284,1451,False
13015,Bartow,1yr,335800,48460,45388,3072,0.0634,31660,13728,0.6975,0.3025,45388,27000,2998,9764,0.5949,0.0661,0.2151,31660.0,222.0,65.0,88.0,191.0,0.0,390.0,317.0,332.0,76.0,224.0,379.0,599.0,136.0,1020.0,317.0,670.0,882.0,2644.0,4196.0,8607.0,5050.0,3160.0,1170.0,604.0,76.0,245.0,2025,748,218,966,False
13045,Carroll,1yr,303100,49255,45427,3828,0.0777,33764,11663,0.7433,0.2567,45427,23684,2036,9387,0.5214,0.0448,0.2066,33764.0,219.0,339.0,101.0,180.0,122.0,84.0,286.0,57.0,246.0,289.0,528.0,649.0,46.0,440.0,454.0,1547.0,903.0,3987.0,6113.0,9383.0,4373.0,2206.0,769.0,409.0,0.0,34.0,2025,774,8,782,False
13057,Cherokee,1yr,482600,111381,107371,4010,0.036,84024,23347,0.7826,0.2174,107371,67154,4961,21236,0.6254,0.0462,0.1978,84024.0,874.0,0.0,0.0,330.0,152.0,0.0,211.0,391.0,479.0,39.0,185.0,365.0,0.0,269.0,128.0,50.0,646.0,1404.0,4274.0,15552.0,20182.0,25832.0,7695.0,2930.0,1102.0,934.0,2025,1402,33,1435,True
13063,Clayton,1yr,264900,116288,104436,11852,0.1019,61092,43344,0.585,0.415,104436,31072,6049,33223,0.2975,0.0579,0.3181,61092.0,357.0,301.0,31.0,343.0,227.0,182.0,138.0,404.0,288.0,116.0,129.0,296.0,237.0,1120.0,1341.0,5161.0,3832.0,12468.0,11980.0,17795.0,2157.0,935.0,347.0,592.0,0.0,315.0,2025,389,366,755,True
13067,Cobb,1yr,454400,319153,301221,17932,0.0562,203437,97784,0.6754,0.3246,301221,147660,17269,73592,0.4902,0.0573,0.2443,203437.0,2993.0,221.0,107.0,1261.0,961.0,423.0,330.0,732.0,712.0,291.0,230.0,372.0,45.0,784.0,67.0,1531.0,1522.0,7435.0,14027.0,47043.0,37954.0,56238.0,18694.0,5919.0,1224.0,2321.0,2025,973,289,1262,True
13077,Coweta,1yr,414500,61184,58017,3167,0.0518,46436,11581,0.8004,0.1996,58017,34465,2686,11878,0.5941,0.0463,0.2047,46436.0,772.0,9.0,53.0,0.0,125.0,693.0,0.0,378.0,342.0,85.0,45.0,164.0,236.0,493.0,78.0,338.0,905.0,3176.0,2787.0,11001.0,10582.0,10523.0,1563.0,1320.0,354.0,414.0,2025,689,0,689,False
13085,Dawson,5yr,406700,12992,11573,1419,0.1092,9103,2470,0.7866,0.2134,11573,6829,439,2469,0.5901,0.0379,0.2133,9103.0,138.0,96.0,76.0,0.0,54.0,32.0,25.0,51.0,35.0,18.0,39.0,45.0,137.0,129.0,103.0,276.0,202.0,626.0,523.0,1817.0,1945.0,1494.0,905.0,244.0,65.0,28.0,2025,1045,0,1045,False
13089,DeKalb,1yr,375400,335512,309812,25700,0.0766,178960,130852,0.5776,0.4224,309812,111929,15982,109109,0.3613,0.0516,0.3522,178960.0,2883.0,195.0,990.0,1069.0,1663.0,266.0,303.0,730.0,947.0,398.0,375.0,404.0,0.0,1101.0,1082.0,3557.0,3335.0,17910.0,23000.0,38821.0,22412.0,34053.0,13796.0,6633.0,1854.0,1183.0,2025,759,516,1275,True
13097,Douglas,1yr,331700,58321,52527,5794,0.0993,35422,17105,0.6744,0.3256,52527,25142,2696,14655,0.4786,0.0513,0.279,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,473,373,846,True
13113,Fayette,1yr,463900,47390,46458,932,0.0197,38309,8149,0.8246,0.1754,46458,29293,2284,10718,0.6305,0.0492,0.2307,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,446,0,446,True
13117,Forsyth,1yr,642700,96530,93592,2938,0.0304,78880,14712,0.8428,0.1572,93592,66712,4202,11855,0.7128,0.0449,0.1267,78880.0,558.0,194.0,541.0,91.0,0.0,66.0,0.0,44.0,263.0,0.0,51.0,0.0,46.0,350.0,281.0,231.0,109.0,1165.0,1754.0,6460.0,9074.0,31821.0,18188.0,5091.0,2132.0,370.0,2025,1323,302,1625,True
13121,Fulton,1yr,503000,523892,463155,60737,0.1159,255283,207872,0.5512,0.4488,463155,172580,13705,176390,0.3726,0.0296,0.3808,255283.0,2851.0,115.0,161.0,410.0,852.0,220.0,329.0,0.0,780.0,486.0,769.0,229.0,699.0,2245.0,1567.0,3696.0,5464.0,17386.0,17872.0,42015.0,28846.0,54690.0,31996.0,21451.0,10406.0,9748.0,2025,2116,6053,8169,True
13135,Gwinnett,1yr,424400,351100,334891,16209,0.0462,222001,112890,0.6629,0.3370999999999999,334891,175062,22076,73995,0.5227,0.0659,0.221,222001.0,3883.0,273.0,396.0,275.0,364.0,561.0,816.0,1113.0,1078.0,295.0,279.0,510.0,307.0,963.0,297.0,2118.0,1134.0,8428.0,11061.0,62688.0,58062.0,50036.0,12245.0,2878.0,991.0,950.0,2025,2848,893,3741,True
13139,Hall,1yr,388000,84567,77868,6699,0.0792,54767,23101,0.7033,0.2966999999999999,77868,42428,6264,16651,0.5449,0.0804,0.2138,54767.0,368.0,616.0,46.0,130.0,449.0,1136.0,260.0,626.0,758.0,899.0,494.0,243.0,62.0,377.0,400.0,757.0,899.0,4123.0,4519.0,11614.0,8667.0,11398.0,3292.0,1791.0,322.0,521.0,2025,1276,155,1431,False
13151,Henry,1yr,347800,96088,91706,4382,0.0456,69685,22021,0.7599,0.2400999999999999,91706,45116,5031,19998,0.492,0.0549,0.2181,69685.0,868.0,302.0,93.0,274.0,390.0,180.0,237.0,256.0,731.0,66.0,43.0,74.0,0.0,489.0,209.0,1120.0,1926.0,6795.0,9680.0,23252.0,12781.0,7811.0,1235.0,729.0,76.0,68.0,2025,1614,30,1644,True
13217,Newton,1yr,314900,45190,43003,2187,0.0484,32784,10219,0.7624,0.2376,43003,19305,3286,9043,0.4489,0.0764,0.2103,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,556,49,605,False
13223,Paulding,1yr,374800,66285,62743,3542,0.0534,49361,13382,0.7867,0.2133,62743,37731,3032,13357,0.6014,0.0483,0.2129,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,1195,36,1231,False
13247,Rockdale,1yr,360100,37215,36299,916,0.0246,26914,9385,0.7415,0.2584999999999999,36299,16879,1515,8377,0.465,0.0417,0.2308,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,329,0,329,True
13255,Spalding,1yr,269800,29499,25877,3622,0.1228,17103,8774,0.6609,0.3390999999999999,25877,10636,2117,6408,0.411,0.0818,0.2476,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,297,0,297,False
13297,Walton,1yr,396900,39337,37993,1344,0.0342,28853,9140,0.7594,0.2406,37993,21973,1265,8892,0.5783,0.0333,0.234,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,530,20,550,False
